Faculty Name,Publication,Date
Dr M Umadevi,"Sini Raj Pulari, Maramreddy Umadevi, Shriram K. Vasudevan, Optimizing multimodal personalized disease prediction accuracy using generated prompts and large language models, Image and Vision Computing, Volume 161, 2025, 105649, ISSN 0262-8856, https://doi.org/10.1016/j.imavis.2025.105649.",2025 September
Dr M Umadevi,"Jyothika, Bhimavarapu & Umadevi, M.. (2025). Performance Analysis of Pretrained CNN Models vs Dataset Biases in Deep Fake Identification Perspective. 896-903. 10.1109/ICIRCA65293.2025.11089555.",2025 July
Dr M Umadevi,"S. R. Pulari, M. Umadevi, S. K. Vasudevan. Improved Fine-Tuned Reinforcement Learning From Human Feedback Using Prompting Methods for News Summarization, International Journal of Interactive Multimedia and Artificial Intelligence, vol. 9, no. 2, pp. 59-67, 2025, http://dx.doi.org/10.9781/ijimai.2025.02.001",2025 March
Dr M Umadevi,"Raj, Sini. , Maramreddy, Umadevi. , K., Shriram. A comprehensive and systematic exposition on Automatic Text Summarization Technique: A deeper coverage on extractive, abstractive and hybrid methods. Fusion: Practice and Applications, vol. , no. , 2025, pp. 179-192. DOI: https://doi.org/10.54216/FPA.200114",2025 February
Dr M Umadevi,"J Hima Bindu, M Uma Devi,'Deriving Efficient 3D U-Net Based Segmented Anomaly Detection and Classification in 3D MRI Images Using ConvLSTM Model and Shuffled Frog Leaping Algorithm',https://doi.org/10.52783/jisem.v10i16s.2591, Vol. 10 No. 16s (2025)",2025 February
Dr M Umadevi,"Pulari, S.R., Maramreddy, U., Vasudevan, S.K. (2024). Enhancing Text Summarization Through Reinforcement Learning in LLMs: RLHF Versus RLAIF with Human Selection Strategy (HSS). In: Hassanien, A.E., Anand, S., Jaiswal, A., Kumar, P. (eds) Innovative Computing and Communications. ICICC 2024. Lecture Notes in Networks and Systems, vol 1043. Springer, Singapore.",2024 October
Dr M Umadevi,"15. J. H. Bindu and M. U. Devi, ""An Extensive Review of Intelligent Deep Learning Based Anomaly Detection and Classification of 3D MRI Brain Imaging Data,"" 2024 3rd International Conference on Sentiment Analysis and Deep Learning (ICSADL), Bhimdatta, Nepal, 2024, pp. 71-75, doi: 10.1109/ICSADL61749.2024.00017.",2024 July
Dr M Umadevi,"J. H. Bindu and M. U. Devi, ""Classification of Brain Tumor Images using Segmentation and Transfer Learning,"" 2024 5th International Conference on Mobile Computing and Sustainable Informatics (ICMCSI), Lalitpur, Nepal, 2024, pp. 225-232,doi:10.1109/ICMCSI61536.2024.00040.",2024 July
Dr M Umadevi,"13. M. Umadevi, S. B. Krishna and N. S. Kumar, ""Deep Fake Face Detection using Efficient Convolutional Neural Networks,"" 2024 5th International Conference on Image Processing and Capsule Networks (ICIPCN), Dhulikhel, Nepal, 2024, pp. 344-352, doi: 10.1109/ICIPCN63822.2024.00063.",2023 January
Dr M Umadevi,"12. Dr. C. Raghavendra rao Dr. M. umadevi, “Identification of Print Technology based on Homogeneous regions of Image A forensic Perspective”, IRJET, Volume 8, Issue 11, Pages 1331-1341, Nov 2021. EISSN 2395-0056",2021 November
